,categories,dislikes,id,likes,locale,title
198,Gaming,1950.0,un-K1UVijYw,29035.0,BO,Tráiler de lanzamiento de Fortnite X Batman
199,Music,40524.0,3ymwOvzhwHs,1617273.0,BO,"TWICE ""Feel Special"" M/V"
200,Entertainment,770.0,NONrZalFyJE,79981.0,BR,ANANDA E JP MOTA TIRARAM A ALIANÇA!
201,Entertainment,1076.0,3NK6Mtlbosk,80430.0,BR,"CHA REVELAÇAO, BABY MENINO OU MENINA ?"
202,Sports,977.0,K0LOjA04tPs,10215.0,BR,Chuva de OBJETOS em Neymar? OLHA o que a torcida do Lyon fez antes do gol do PSG!
203,Entertainment,688.0,lsT6UEVcgq0,47255.0,BR,"Contatinho - Léo Santana, Anitta | Coreografia - Lore Improta"
204,Entertainment,421.0,nyjsi0DblL4,34567.0,BR,DESAFIO DO SOM - DESCUBRA O OBJETO PELO BARULHO
205,Comedy,1411.0,qGPlvcpMY-8,46091.0,BR,ESPERANÇA É A ÚLTIMA QUE MORRE!
206,Music,167.0,ahMBfp0xWlM,11047.0,BR,Fernando & Sorocaba - Alô Som (Ao Vivo) ft. Maiara & Maraisa
207,Film & Animation,55.0,qtactzGBGFc,5516.0,BR,Frozen 2 - Trailer Dublado - 02 de janeiro nos cinemas
208,Comedy,81.0,706NsJo_4sE,30833.0,BR,MARCUS CIRILLO - MEU PAI COMPROU UM CARRO - STAND-UP COMEDY
209,Entertainment,209.0,KNVK5Do2PTk,50373.0,BR,Milagre do outro | Deive Leonardo
210,Gaming,78.0,kkqcBSTNtz4,10149.0,BR,Mundial 2019 - Sorteio da Fase de Entrada
211,Comedy,285.0,Gs38leX8kqk,28823.0,BR,Nome do Filho 2 - DESCONFINADOS (erros no final)
212,Entertainment,1970.0,RexSyeQqNd4,119587.0,BR,NÃO DÁ MAIS
213,News & Politics,916.0,saGjh2AXEz4,7666.0,BR,O assassinato da pequena Ágatha e o pacote anticrime de Sergio Moro
214,Sports,1019.0,2SarsXmt8mI,15688.0,BR,Olympique Lyonnais - Paris Saint-Germain ( 0-1 ) - Résumé - (OL - PARIS) / 2019-20
215,Sports,3577.0,fw1Fn4A5ctI,9700.0,BR,Os Donos da Bola - 23/09/2019 - Programa completo
216,Howto & Style,226.0,XVxKzjnU1LE,30354.0,BR,TESTANDO MAQUIAGENS BARATINHAS QUE COMPREI NA 25 DE MARÇO
217,Music,40534.0,3ymwOvzhwHs,1617379.0,BR,"TWICE ""Feel Special"" M/V"
